"desc","date","ipd","pop"
">=65y",2019-01-01,202.267934312878,3419057.92
"<10w_PCV13add",2005-01-01,67.2511045859361,265926.8504
"<10w_PCV7",2005-01-01,60.5259941273425,265926.8504
"<10w_nonPCV",2005-01-01,39.0056406598429,265926.8504
"<10w_PCV13add",2006-01-01,34.9737678267938,273276.8791
"<10w_PCV7",2006-01-01,71.3464863666593,273276.8791
"<10w_nonPCV",2006-01-01,44.766422818296,273276.8791
"<10w_PCV13add",2007-01-01,33.6582856560786,281007.23
"<10w_PCV7",2007-01-01,67.3165713121573,281007.23
"<10w_nonPCV",2007-01-01,60.2306164371934,281007.23
"<10w_PCV13add",2008-01-01,45.4715164688465,287840.6376
"<10w_PCV7",2008-01-01,71.4552401653303,287840.6376
"<10w_nonPCV",2008-01-01,47.0954991998768,287840.6376
"<10w_PCV13add",2009-01-01,53.5997830406241,288652.3624
"<10w_PCV7",2009-01-01,57.8313448596207,288652.3624
"<10w_nonPCV",2009-01-01,47.9577006152953,288652.3624
"<10w_PCV13add",2010-01-01,37.2996078161552,284324.1751
"<10w_PCV7",2010-01-01,43.2675450667401,284324.1751
"<10w_nonPCV",2010-01-01,47.7434980046787,284324.1751
"<10w_PCV13add",2011-01-01,38.4741087133725,285504.0841
"<10w_PCV7",2011-01-01,33.4557467072804,285504.0841
"<10w_nonPCV",2011-01-01,58.5475567377408,285504.0841
"<10w_PCV13add",2012-01-01,47.3970588235294,288603.8106
"<10w_PCV7",2012-01-01,17.0629411764706,288603.8106
"<10w_nonPCV",2012-01-01,64.46,288603.8106
"<10w_PCV13add",2013-01-01,17.5097751710655,290914.0653
"<10w_PCV7",2013-01-01,17.5097751710655,290914.0653
"<10w_nonPCV",2013-01-01,91.0508308895406,290914.0653
"<10w_PCV13add",2014-01-01,16.8155823918972,292369.1009
"<10w_PCV7",2014-01-01,18.9175301908843,292369.1009
"<10w_nonPCV",2014-01-01,48.3447993767043,292369.1009
"<10w_PCV13add",2015-01-01,18.8032839050468,291663.5831
"<10w_PCV7",2015-01-01,7.05123146439254,291663.5831
"<10w_nonPCV",2015-01-01,63.4610831795329,291663.5831
"<10w_PCV13add",2016-01-01,11.6058335477232,289803.4437
"<10w_PCV7",2016-01-01,11.6058335477232,289803.4437
"<10w_nonPCV",2016-01-01,67.3138345767944,289803.4437
"<10w_PCV13add",2017-01-01,12.882208892184,281969.9204
"<10w_PCV7",2017-01-01,2.57644177843679,281969.9204
"<10w_nonPCV",2017-01-01,79.8696951315405,281969.9204
"<10w_PCV13add",2018-01-01,16.8855593408885,282661.5301
"<10w_PCV7",2018-01-01,11.2570395605924,282661.5301
"<10w_nonPCV",2018-01-01,78.7992769241466,282661.5301
"<10w_PCV13add",2019-01-01,10.1642178046672,283056.2661
"<10w_PCV7",2019-01-01,10.1642178046672,283056.2661
"<10w_nonPCV",2019-01-01,71.1495246326707,283056.2661
"15-24y_PCV13add",2005-01-01,107.947361311456,9981127
"15-24y_PCV7",2005-01-01,86.6619661232819,9981127
"15-24y_nonPCV",2005-01-01,76.0192685291947,9981127
"2-4y_PCV13add",2005-01-01,131.629177871687,2705027
"2-4y_PCV7",2005-01-01,220.672445255474,2705027
"2-4y_nonPCV",2005-01-01,40.0049462159047,2705027
"25-44y_PCV13add",2005-01-01,667.29475221897,13771928
"25-44y_PCV7",2005-01-01,521.234527484346,13771928
"25-44y_nonPCV",2005-01-01,627.199788566328,13771928
"45-64y_PCV13add",2005-01-01,225.39795620438,6714667.4
"45-64y_PCV7",2005-01-01,169.761751824818,6714667.4
"45-64y_nonPCV",2005-01-01,175.46802919708,6714667.4
"5-14y_PCV13add",2005-01-01,209.892447318129,9388165
"5-14y_PCV7",2005-01-01,196.523501629076,9388165
"5-14y_nonPCV",2005-01-01,70.8554121519797,9388165
"<2y_PCV13add",2005-01-01,339.67033334763,2002335
"<2y_PCV7",2005-01-01,695.644842695946,2002335
"<2y_nonPCV",2005-01-01,202.443518675187,2002335
">=65y_PCV13add",2005-01-01,36.2445027086778,2426509.34
">=65y_PCV7",2005-01-01,44.0111818605374,2426509.34
">=65y_nonPCV",2005-01-01,41.4222888099175,2426509.34
"15-24y_PCV13add",2006-01-01,129.69438902436,10064765
"15-24y_PCV7",2006-01-01,84.5199389147516,10064765
"15-24y_nonPCV",2006-01-01,100.549582502032,10064765
"2-4y_PCV13add",2006-01-01,106.007547563472,2739084
"2-4y_PCV7",2006-01-01,210.620258974794,2739084
"2-4y_nonPCV",2006-01-01,39.0554122602266,2739084
"25-44y_PCV13add",2006-01-01,665.172367640734,13964827
"25-44y_PCV7",2006-01-01,490.360921356532,13964827
"25-44y_nonPCV",2006-01-01,577.766644498633,13964827
"45-64y_PCV13add",2006-01-01,219.896177363036,6929241.2
"45-64y_PCV7",2006-01-01,173.76411218198,6929241.2
"45-64y_nonPCV",2006-01-01,187.603731736297,6929241.2
"5-14y_PCV13add",2006-01-01,183.14561618862,9281562
"5-14y_PCV7",2006-01-01,210.894951974775,9281562
"5-14y_nonPCV",2006-01-01,70.7608062546942,9281562
"<2y_PCV13add",2006-01-01,270.651289860577,2099211
"<2y_PCV7",2006-01-01,688.425844978699,2099211
"<2y_nonPCV",2006-01-01,188.761925236095,2099211
">=65y_PCV13add",2006-01-01,44.1954225272463,2488020.44
">=65y_PCV7",2006-01-01,41.4332086192934,2488020.44
">=65y_nonPCV",2006-01-01,49.7198503431521,2488020.44
"15-24y_PCV13add",2007-01-01,98.1161097471306,10174014
"15-24y_PCV7",2007-01-01,103.973787940989,10174014
"15-24y_nonPCV",2007-01-01,80.543075165555,10174014
"2-4y_PCV13add",2007-01-01,118.911399851528,2840551
"2-4y_PCV7",2007-01-01,215.10938624827,2840551
"2-4y_nonPCV",2007-01-01,33.4020786099797,2840551
"25-44y_PCV13add",2007-01-01,629.844060313889,14249783
"25-44y_PCV7",2007-01-01,611.089398468314,14249783
"25-44y_nonPCV",2007-01-01,553.262524444458,14249783
"45-64y_PCV13add",2007-01-01,182.30850468125,7135838.7
"45-64y_PCV7",2007-01-01,193.309879963739,7135838.7
"45-64y_nonPCV",2007-01-01,194.881505004095,7135838.7
"5-14y_PCV13add",2007-01-01,149.802589711009,9196501
"5-14y_PCV7",2007-01-01,197.467050073603,9196501
"5-14y_nonPCV",2007-01-01,73.539453130859,9196501
"<2y_PCV13add",2007-01-01,287.006223791657,2162799
"<2y_PCV7",2007-01-01,685.065107040389,2162799
"<2y_nonPCV",2007-01-01,196.144956963143,2162799
">=65y_PCV13add",2007-01-01,58.0095453542264,2537779.95
">=65y_PCV7",2007-01-01,49.3081135510925,2537779.95
">=65y_nonPCV",2007-01-01,31.9052499448245,2537779.95
"15-24y_PCV13add",2008-01-01,115.753270304521,10232953
"15-24y_PCV7",2008-01-01,77.7200529187501,10232953
"15-24y_nonPCV",2008-01-01,76.0664347715426,10232953
"2-4y_PCV13add",2008-01-01,102.604781952372,2973140
"2-4y_PCV7",2008-01-01,171.932337325596,2973140
"2-4y_nonPCV",2008-01-01,26.3444710418252,2973140
"25-44y_PCV13add",2008-01-01,617.140093773185,14581157
"25-44y_PCV7",2008-01-01,628.478625679779,14581157
"25-44y_nonPCV",2008-01-01,584.744288325774,14581157
"45-64y_PCV13add",2008-01-01,231.395412689026,7354318.6
"45-64y_PCV7",2008-01-01,233.01356242811,7354318.6
"45-64y_nonPCV",2008-01-01,181.232770777419,7354318.6
"5-14y_PCV13add",2008-01-01,183.890411530122,9123490
"5-14y_PCV7",2008-01-01,170.85880756342,9123490
"5-14y_nonPCV",2008-01-01,57.9182398520069,9123490
"<2y_PCV13add",2008-01-01,311.160668963638,2222582
"<2y_PCV7",2008-01-01,728.367126453001,2222582
"<2y_nonPCV",2008-01-01,191.161487210845,2222582
">=65y_PCV13add",2008-01-01,41.2872307522836,2582461.55
">=65y_PCV7",2008-01-01,48.4057188130222,2582461.55
">=65y_nonPCV",2008-01-01,55.5242068737607,2582461.55
"15-24y_PCV13add",2009-01-01,123.484942403825,10249792
"15-24y_PCV7",2009-01-01,96.3784916322539,10249792
"15-24y_nonPCV",2009-01-01,81.3193523147142,10249792
"2-4y_PCV13add",2009-01-01,125.289678312835,3109665
"2-4y_PCV7",2009-01-01,177.830511153702,3109665
"2-4y_nonPCV",2009-01-01,22.9024143152495,3109665
"25-44y_PCV13add",2009-01-01,720.131864411675,14950399
"25-44y_PCV7",2009-01-01,556.740601057766,14950399
"25-44y_nonPCV",2009-01-01,521.944313491655,14950399
"45-64y_PCV13add",2009-01-01,228.359891744266,7578400.4
"45-64y_PCV7",2009-01-01,199.269459674933,7578400.4
"45-64y_nonPCV",2009-01-01,225.450848537333,7578400.4
"5-14y_PCV13add",2009-01-01,206.255078482737,9090041
"5-14y_PCV7",2009-01-01,189.067155275842,9090041
"5-14y_nonPCV",2009-01-01,67.319365893671,9090041
"<2y_PCV13add",2009-01-01,298.580481258603,2255370
"<2y_PCV7",2009-01-01,573.769864907085,2255370
"<2y_nonPCV",2009-01-01,184.376887044483,2255370
">=65y_PCV13add",2009-01-01,80.3299359025688,2626598.15
">=65y_PCV7",2009-01-01,43.033894233519,2626598.15
">=65y_nonPCV",2009-01-01,40.1649679512844,2626598.15
"15-24y_PCV13add",2010-01-01,116.60558630782,10238565
"15-24y_PCV7",2010-01-01,64.1330724693008,10238565
"15-24y_nonPCV",2010-01-01,90.3693293885601,10238565
"2-4y_PCV13add",2010-01-01,95.6031322356573,3207236
"2-4y_PCV7",2010-01-01,141.998769938256,3207236
"2-4y_nonPCV",2010-01-01,21.0889262284538,3207236
"25-44y_PCV13add",2010-01-01,673.036659285949,15346747
"25-44y_PCV7",2010-01-01,493.350057040989,15346747
"25-44y_nonPCV",2010-01-01,562.702780714482,15346747
"45-64y_PCV13add",2010-01-01,282.035781485975,7800671.5
"45-64y_PCV7",2010-01-01,210.026645787428,7800671.5
"45-64y_nonPCV",2010-01-01,225.028549057958,7800671.5
"5-14y_PCV13add",2010-01-01,155.132045781372,9134777
"5-14y_PCV7",2010-01-01,155.132045781372,9134777
"5-14y_nonPCV",2010-01-01,57.0768847686178,9134777
"<2y_PCV13add",2010-01-01,205.176245016126,2246071
"<2y_PCV7",2010-01-01,323.885358204028,2246071
"<2y_nonPCV",2010-01-01,153.882183762095,2246071
">=65y_PCV13add",2010-01-01,65.7753237462412,2674683.9
">=65y_PCV7",2010-01-01,54.5795239596469,2674683.9
">=65y_nonPCV",2010-01-01,50.3810990396741,2674683.9
"15-24y_PCV13add",2011-01-01,113.320255098329,10190572
"15-24y_PCV7",2011-01-01,53.9620262372996,10190572
"15-24y_nonPCV",2011-01-01,80.9430393559495,10190572
"2-4y_PCV13add",2011-01-01,100.144132950221,3281364
"2-4y_PCV7",2011-01-01,89.5227855161069,3281364
"2-4y_nonPCV",2011-01-01,50.0720664751107,3281364
"25-44y_PCV13add",2011-01-01,667.354105371542,15782229
"25-44y_PCV7",2011-01-01,390.646305583341,15782229
"25-44y_nonPCV",2011-01-01,550.160213696539,15782229
"45-64y_PCV13add",2011-01-01,320.768070150438,8017997
"45-64y_PCV7",2011-01-01,145.223355142736,8017997
"45-64y_nonPCV",2011-01-01,258.52948937498,8017997
"5-14y_PCV13add",2011-01-01,166.209062878379,9222514
"5-14y_PCV7",2011-01-01,91.7612534641048,9222514
"5-14y_nonPCV",2011-01-01,76.1791538192568,9222514
"<2y_PCV13add",2011-01-01,188.599105453671,2238040
"<2y_PCV7",2011-01-01,144.701037804971,2238040
"<2y_nonPCV",2011-01-01,164.211290093282,2238040
">=65y_PCV13add",2011-01-01,62.3785333409782,2729842.01
">=65y_PCV7",2011-01-01,34.0246545496245,2729842.01
">=65y_nonPCV",2011-01-01,55.2900636431397,2729842.01
"15-24y_PCV13add",2012-01-01,76.565559912854,10118283
"15-24y_PCV7",2012-01-01,52.12974291939,10118283
"15-24y_nonPCV",2012-01-01,91.2270501089325,10118283
"2-4y_PCV13add",2012-01-01,66.0047930283224,3308441
"2-4y_PCV7",2012-01-01,43.5350762527233,3308441
"2-4y_nonPCV",2012-01-01,42.1307189542484,3308441
"25-44y_PCV13add",2012-01-01,487.227899159664,16204608
